px,py,pz,B
0.0,0.0,0.0,24.99
0.0,0.0,0.25,24.94
0.0,0.0,0.5,25.2
0.0,0.0,0.75,24.84
0.0,0.0,1.0,24.37
0.0,0.0,1.25,24.49
0.0,0.0,1.5,24.61
0.0,0.25,0.0,25.72
0.0,0.25,0.25,25.12
0.0,0.25,0.5,24.83
0.0,0.25,0.75,24.91
0.0,0.25,1.0,24.91
0.0,0.25,1.25,23.66
0.0,0.25,1.5,24.19
0.0,0.5,0.0,25.2
0.0,0.5,0.25,25.48
0.0,0.5,0.5,25.48
0.0,0.5,0.75,25.35
0.0,0.5,1.0,25.32
0.0,0.5,1.25,25.21
0.0,0.5,1.5,24.39
0.0,0.75,0.0,26.5
0.0,0.75,0.25,25.78
0.0,0.75,0.5,26.09
0.0,0.75,0.75,26.06
0.0,0.75,1.0,25.38
0.0,0.75,1.25,24.64
0.0,0.75,1.5,24.18
0.0,1.0,0.0,25.86
0.0,1.0,0.25,26.23
0.0,1.0,0.5,25.64
0.0,1.0,0.75,25.69
0.0,1.0,1.0,25.34
0.0,1.0,1.25,25.21
0.0,1.0,1.5,24.67
0.0,1.25,0.0,26.09
0.0,1.25,0.25,25.78
0.0,1.25,0.5,25.9
0.0,1.25,0.75,26.01
0.0,1.25,1.0,25.94
0.0,1.25,1.25,24.44
0.0,1.25,1.5,25.16
0.0,1.5,0.0,26.23
0.0,1.5,0.25,26.09
0.0,1.5,0.5,25.8
0.0,1.5,0.75,25.35
0.0,1.5,1.0,25.74
0.0,1.5,1.25,25.58
0.0,1.5,1.5,25.16
0.25,0.0,0.0,26.14
0.25,0.0,0.25,25.84
0.25,0.0,0.5,25.13
0.25,0.0,0.75,25.4
0.25,0.0,1.0,25.36
0.25,0.0,1.25,24.24
0.25,0.0,1.5,24.57
0.25,0.25,0.0,26.41
0.25,0.25,0.25,26.62
0.25,0.25,0.5,25.77
0.25,0.25,0.75,25.68
0.25,0.25,1.0,25.37
0.25,0.25,1.25,24.63
0.25,0.25,1.5,25.36
0.25,0.5,0.0,26.63
0.25,0.5,0.25,27.1
0.25,0.5,0.5,26.73
0.25,0.5,0.75,27.09
0.25,0.5,1.0,26.48
0.25,0.5,1.25,25.66
0.25,0.5,1.5,24.01
0.25,0.75,0.0,27.3
0.25,0.75,0.25,27.71
0.25,0.75,0.5,27.68
0.25,0.75,0.75,26.59
0.25,0.75,1.0,26.97
0.25,0.75,1.25,25.09
0.25,0.75,1.5,24.78
0.25,1.0,0.0,27.81
0.25,1.0,0.25,27.64
0.25,1.0,0.5,28.24
0.25,1.0,0.75,27.05
0.25,1.0,1.0,26.09
0.25,1.0,1.25,25.54
0.25,1.0,1.5,24.66
0.25,1.25,0.0,26.76
0.25,1.25,0.25,27.69
0.25,1.25,0.5,27.51
0.25,1.25,0.75,27.35
0.25,1.25,1.0,25.94
0.25,1.25,1.25,26.29
0.25,1.25,1.5,24.93
0.25,1.5,0.0,27.46
0.25,1.5,0.25,26.8
0.25,1.5,0.5,26.54
0.25,1.5,0.75,26.56
0.25,1.5,1.0,26.36
0.25,1.5,1.25,25.47
0.25,1.5,1.5,24.66
0.5,0.0,0.0,25.92
0.5,0.0,0.25,26.02
0.5,0.0,0.5,26.66
0.5,0.0,0.75,26.53
0.5,0.0,1.0,25.63
0.5,0.0,1.25,24.78
0.5,0.0,1.5,25.1
0.5,0.25,0.0,26.93
